name,url,persona,company,message,personalization_score,notes
Girish Mathrubootham,https://www.linkedin.com/in/girishmathrubootham,founder,Freshworks,"Hey Girish, I am a Full Stack and AI engineer. Shipped MERN TypeScript systems and LangGraph agents at OpenBiz (founding engineer). Exploring roles at Freshworks. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Sridhar Vembu,https://www.linkedin.com/in/sridharvembu,founder,Zoho,"Hey Sridhar, I am a Full Stack and AI engineer. Built Nimbus RAG (sub 800ms), VyaparGPT (WhatsApp AI, 40 SMBs), and LangGraph agents at OpenBiz. Exploring roles at Zoho. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Raju Vegesna,https://www.linkedin.com/in/rajuvegesna,executive,Zoho,"Hey Raju, I am a Full Stack and AI engineer (MERN, Python, LangGraph, pgvector RAG). Exploring engineering roles at Zoho. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Chief Evangelist
Ragy Thomas,https://www.linkedin.com/in/ragythomas,founder,Sprinklr,"Hey Ragy, I am a Full Stack and AI engineer. Built LangGraph stateful agents and VyaparGPT (WhatsApp AI, 40 SMBs) at OpenBiz. Exploring AI engineering roles at Sprinklr. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Rohit Chennamaneni,https://www.linkedin.com/in/rohitchennamaneni,founder,Darwinbox,"Hey Rohit, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Darwinbox. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Chaitanya Peddi,https://www.linkedin.com/in/chaitanyapeddi,founder,Darwinbox,"Hey Chaitanya, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring roles at Darwinbox. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,Co-founder
Jayant Paleti,https://www.linkedin.com/in/jayantpaleti,founder,Darwinbox,"Hey Jayant, I am a Full Stack and AI engineer (LangGraph, pgvector RAG, MERN TypeScript). Exploring engineering roles at Darwinbox. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Vibhor Jain,https://www.linkedin.com/in/vibhorjain,founder,Darwinbox,"Hey Vibhor, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring AI engineering roles at Darwinbox. Would you refer me if there are relevant openings? Happy to share my resume.",3,Co-founder/CEO
Sameer Nigam,https://www.linkedin.com/in/sameernigam,founder,PhonePe,"Hey Sameer, I am a Full Stack engineer. Shipped idempotent payment webhook billing with 100% consistency and cut API latency 40% at OpenBiz. Exploring roles at PhonePe. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Rahul Chari,https://www.linkedin.com/in/rahulchari,executive,PhonePe,"Hey Rahul, I am a Full Stack engineer. Built idempotent payment webhook billing (100% consistency) and resolved N plus 1 patterns cutting API latency 40% at OpenBiz. Exploring engineering roles at PhonePe. Would you refer me if there are openings? Happy to share my resume.",3,CTO
Deepak Abbot,https://www.linkedin.com/in/deepakabbot,executive,PhonePe,"Hey Deepak, I am a Full Stack engineer. Shipped idempotent payment webhook billing and cut API latency 40% at OpenBiz. Exploring engineering roles at PhonePe. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,VP Engineering
Kunal Shah,https://www.linkedin.com/in/kunalb11,founder,CRED,"Hey Kunal, I am a Full Stack and AI engineer. Built LangGraph agents, pgvector RAG, and idempotent payment webhook systems at OpenBiz. Exploring engineering roles at CRED. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Lalit Keshre,https://www.linkedin.com/in/lalitkeshre,founder,Groww,"Hey Lalit, I am a Full Stack and AI engineer (MERN, TypeScript, LangGraph). Exploring engineering roles at Groww in fintech. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CEO
Vidit Aatrey,https://www.linkedin.com/in/viditaatrey,founder,Meesho,"Hey Vidit, I am a Full Stack and AI engineer. Built LangGraph agents and a pgvector RAG pipeline at OpenBiz. Exploring AI engineering roles at Meesho. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Sanjeev Barnwal,https://www.linkedin.com/in/sanjeevbarnwal,executive,Meesho,"Hey Sanjeev, I am a Full Stack and AI engineer (MERN, TypeScript, LangGraph, pgvector RAG). Exploring engineering roles at Meesho. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CTO/Co-founder
Aadit Palicha,https://www.linkedin.com/in/aaditpalicha,founder,Zepto,"Hey Aadit, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Zepto. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Kaivalya Vohra,https://www.linkedin.com/in/kaivalyavohra,founder,Zepto,"Hey Kaivalya, I am a Full Stack and AI engineer (MERN, Python, TypeScript, LangGraph). Exploring engineering roles at Zepto. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Raviteja Dodda,https://www.linkedin.com/in/ravitejadodda,founder,MoEngage,"Hey Raviteja, I am a Full Stack and AI engineer. Shipped LangGraph agents and a pgvector RAG pipeline at OpenBiz. Exploring roles at MoEngage. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Avlesh Singh,https://www.linkedin.com/in/avleshsingh,founder,WebEngage,"Hey Avlesh, I am a Full Stack and AI engineer. Built LangGraph agents and a provider agnostic LLM layer at OpenBiz. Exploring AI engineering roles at WebEngage. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Srikanth Velamakanni,https://www.linkedin.com/in/srikanthvelamakanni,founder,Fractal Analytics,"Hey Srikanth, I am a Full Stack and AI engineer. Shipped LangGraph agents, pgvector RAG (sub 800ms), and Gemini Vision doc extraction at OpenBiz. Exploring AI roles at Fractal. Would love to be considered for relevant openings. Happy to share my resume.",3,CEO
Pranay Agrawal,https://www.linkedin.com/in/pranayagrawal,founder,Fractal Analytics,"Hey Pranay, I am a Full Stack and AI engineer (LangGraph, pgvector RAG, MERN TypeScript). Exploring AI engineering roles at Fractal. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Prashant Warier,https://www.linkedin.com/in/prashantwarier,founder,Qure.ai,"Hey Prashant, I am a Full Stack and AI engineer. Built Gemini Vision document extraction pipelines and LangGraph agents at OpenBiz. Exploring applied AI roles at Qure.ai. Would love to be considered for relevant openings. Happy to share my resume.",3,CEO
Shivakumar Ganesan,https://www.linkedin.com/in/shivku,founder,Exotel,"Hey Shivakumar, I am a Full Stack and AI engineer. Shipped LangGraph agents and VyaparGPT (WhatsApp AI, 40 SMBs) at OpenBiz. Exploring roles at Exotel. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Baskar Subramanian,https://www.linkedin.com/in/baskarsubramanian,founder,Amagi,"Hey Baskar, I am a Full Stack and AI engineer (LangGraph, pgvector RAG, MERN TypeScript). Exploring engineering roles at Amagi. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CEO
Abhiraj Bahl,https://www.linkedin.com/in/abhirajbahl,founder,UrbanCompany,"Hey Abhiraj, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring AI engineering roles at UrbanCompany. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Varun Khaitan,https://www.linkedin.com/in/varunkhaitan,founder,UrbanCompany,"Hey Varun, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at UrbanCompany. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Aravind Sanka,https://www.linkedin.com/in/aravindsanka,founder,Rapido,"Hey Aravind, I am a Full Stack and AI engineer (LangGraph, pgvector RAG, MERN TypeScript). Exploring engineering roles at Rapido. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CEO
Bhavin Turakhia,https://www.linkedin.com/in/bhavinturakhia,founder,Zeta,"Hey Bhavin, I am a Full Stack engineer. Shipped idempotent payment webhook billing (100% consistency) and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Zeta. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Ramki Gaddipati,https://www.linkedin.com/in/ramkigaddipati,founder,Zeta,"Hey Ramki, I am a Full Stack engineer. Built idempotent payment webhook systems and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Zeta. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
Jitendra Gupta,https://www.linkedin.com/in/jitgupta,founder,Jupiter Money,"Hey Jitendra, I am a Full Stack engineer. Shipped idempotent payment webhook billing and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Jupiter. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
Rajan Bajaj,https://www.linkedin.com/in/rajanbajaj,founder,Slice,"Hey Rajan, I am a Full Stack and AI engineer. Shipped idempotent payment webhook systems and LangGraph agents at OpenBiz. Exploring engineering roles at Slice. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
Sujith Narayanan,https://www.linkedin.com/in/sujithnarayanan,founder,Fi.Money,"Hey Sujith, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring fintech engineering roles at Fi.Money. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CEO
Sumit Gwalani,https://www.linkedin.com/in/sumitgwalani,founder,Fi.Money,"Hey Sumit, I am a Full Stack and AI engineer. Built payment webhook systems and LangGraph AI agents at OpenBiz. Exploring fintech engineering roles at Fi.Money. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
Soumyadeb Mitra,https://www.linkedin.com/in/soumyadeb,founder,RudderStack,"Hey Soumyadeb, I am a Full Stack and AI engineer. Shipped MERN TypeScript systems and pgvector RAG pipelines at OpenBiz. Exploring data engineering roles at RudderStack. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Ankit Nayan,https://www.linkedin.com/in/ankitnayan,founder,SigNoz,"Hey Ankit, I am a Full Stack and AI engineer (MERN, TypeScript, Python). Built developer tooling and LangGraph agents at OpenBiz. Exploring engineering roles at SigNoz. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
Pranay Shah,https://www.linkedin.com/in/pranayshah,founder,SigNoz,"Hey Pranay, I am a Full Stack and AI engineer (MERN, TypeScript, Python). Built developer tooling and autonomous web agents at OpenBiz. Exploring engineering roles at SigNoz. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
