name,url,persona,company,message,personalization_score,notes
Deepinder Goyal,https://www.linkedin.com/in/deepindergoyal,founder,Zomato,"Hey Deepinder, I am a Full Stack and AI engineer. Shipped MERN TypeScript systems and LangGraph agents at OpenBiz. Exploring AI engineering roles at Zomato. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Sriharsha Majety,https://www.linkedin.com/in/sriharsha,founder,Swiggy,"Hey Sriharsha, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring AI engineering roles at Swiggy. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Nandan Reddy,https://www.linkedin.com/in/nandanreddy,founder,Swiggy,"Hey Nandan, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Swiggy. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Sahil Barua,https://www.linkedin.com/in/sahilbarua,founder,Delhivery,"Hey Sahil, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Delhivery. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Suraj Saharan,https://www.linkedin.com/in/surajsaharan,founder,Delhivery,"Hey Suraj, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Delhivery. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Reeju Datta,https://www.linkedin.com/in/reejudatta,founder,Cashfree Payments,"Hey Reeju, I am a Full Stack engineer. Shipped idempotent payment webhook billing (100% consistency) and cut API latency 40% at OpenBiz. Exploring engineering roles at Cashfree. Would you refer me if there are relevant openings? Happy to share my resume.",3,Co-founder
Akash Sinha,https://www.linkedin.com/in/akashsinha,founder,Cashfree Payments,"Hey Akash, I am a Full Stack engineer. Built idempotent payment webhook billing and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Cashfree. Would you be open to referring me if there are openings? Happy to share my resume.",3,CBO
Anish Achuthan,https://www.linkedin.com/in/anishachuthan,founder,Open Financial,"Hey Anish, I am a Full Stack engineer. Shipped idempotent payment webhook billing and LangGraph AI agents at OpenBiz. Exploring fintech engineering roles at Open. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Mabel Chacko,https://www.linkedin.com/in/mabelchacko,founder,Open Financial,"Hey Mabel, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring fintech engineering roles at Open Financial. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Sachin Bansal,https://www.linkedin.com/in/sachinbansal,founder,Navi Technologies,"Hey Sachin, I am a Full Stack engineer. Built idempotent payment webhook systems and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Navi. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Nithin Kamath,https://www.linkedin.com/in/nithinkamath,founder,Zerodha,"Hey Nithin, I am a Full Stack and AI engineer. Shipped MERN TypeScript systems and LangGraph agents at OpenBiz. Exploring engineering roles at Zerodha. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Krish Subramanian,https://www.linkedin.com/in/krishsubramanian,founder,Chargebee,"Hey Krish, I am a Full Stack engineer. Shipped idempotent payment webhook billing (100% consistency) and LangGraph agents at OpenBiz. Exploring engineering roles at Chargebee. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Rajaraman Santhanam,https://www.linkedin.com/in/rajaramansanthanam,executive,Chargebee,"Hey Rajaraman, I am a Full Stack engineer. Built idempotent payment webhook billing and LangGraph AI agents at OpenBiz. Exploring engineering roles at Chargebee. Would you be open to referring me if there are openings? Happy to share my resume.",3,CTO
Nilesh Patel,https://www.linkedin.com/in/nileshpatel,founder,LeadSquared,"Hey Nilesh, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at LeadSquared. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Aneesh Reddy,https://www.linkedin.com/in/aneeshreddy,founder,Capillary Technologies,"Hey Aneesh, I am a Full Stack and AI engineer. Shipped LangGraph agents and a pgvector RAG pipeline at OpenBiz. Exploring AI engineering roles at Capillary. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Naveen Tewari,https://www.linkedin.com/in/naveentewari,founder,InMobi,"Hey Naveen, I am a Full Stack and AI engineer. Built LangGraph agents and a provider agnostic LLM layer at OpenBiz. Exploring AI engineering roles at InMobi. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
Ankush Sachdeva,https://www.linkedin.com/in/ankushsachdeva,founder,ShareChat,"Hey Ankush, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring AI engineering roles at ShareChat. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
Farid Ahsan,https://www.linkedin.com/in/faridahsan,founder,ShareChat,"Hey Farid, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring AI engineering roles at ShareChat. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Vijay Shekar Sharma,https://www.linkedin.com/in/vijayshekarsharma,founder,Paytm,"Hey Vijay, I am a Full Stack and AI engineer. Shipped LangGraph agents and idempotent payment webhook billing at OpenBiz. Exploring engineering roles at Paytm. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Mayank Kumar,https://www.linkedin.com/in/mayankumar,founder,UpGrad,"Hey Mayank, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at UpGrad. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Abhimanyu Saxena,https://www.linkedin.com/in/abhimanyusaxena,founder,Scaler Academy,"Hey Abhimanyu, I am a Full Stack and AI engineer. Shipped MERN TypeScript systems and LangGraph agents at OpenBiz. Exploring engineering roles at Scaler Academy. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Anshuman Singh,https://www.linkedin.com/in/anshumansingh,founder,Scaler Academy,"Hey Anshuman, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Scaler Academy. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Alakh Pandey,https://www.linkedin.com/in/alakhpandey,founder,PhysicsWallah,"Hey Alakh, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at PhysicsWallah. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Mihir Gupta,https://www.linkedin.com/in/mihirgupta,founder,Teachmint,"Hey Mihir, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Teachmint. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Payoj Jain,https://www.linkedin.com/in/payojjain,founder,Teachmint,"Hey Payoj, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Teachmint. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Aloke Bajpai,https://www.linkedin.com/in/alokebajpai,founder,Ixigo,"Hey Aloke, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Ixigo. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Ravish Naresh,https://www.linkedin.com/in/ravishn,founder,Khatabook,"Hey Ravish, I am a Full Stack and AI engineer. Built VyaparGPT (WhatsApp AI, LangGraph, 40 SMBs) at OpenBiz for Indian SMBs. Exploring engineering roles at Khatabook. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
